n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
"[150, 100, 50]",0.00013894954943731373,0.01,1e-05,0.1,0.8,sigmoid,quickprop,0.0,128,range,"(-0.05, 0.05)",100,23.74061857415765,9.86042538213011,36
"[120, 80]",0.00013894954943731373,0.001,0.0005,0.2,0.9,sigmoid,adamw,0.001,32,orthogonal,"(-0.05, 0.05)",100,6.667184876295296,4.891708109749896,37
"[200, 200]",0.0003727593720314938,0.0005,0.0001,0.1,0.8,elu,adam,0.001,128,glorot,"(-0.05, 0.05)",150,0.1582078701420458,0.7926060375048979,38
"[50, 50, 50]",0.0001,0.0001,0.0005,0.1,0.8,leaky_relu,quickprop,0.0001,64,he,"(-0.05, 0.05)",150,36.05805515373967,11.760755916144547,39
"[80, 60]",0.00013894954943731373,0.0001,1e-05,0.2,0.7,relu,adamw,0.0,16,he,"(-0.05, 0.05)",50,0.3439682860721271,1.2427475193943531,40
"[80, 60]",0.001,0.0005,0.0,0.3,0.8,relu,quickprop,0.0001,64,he,"(-0.05, 0.05)",150,18.87710342552727,8.648556033683118,41
"[200, 200]",0.0001,0.002,0.0,0.3,0.7,relu,rprop_prev_grad,0.0001,8,range,"(-0.05, 0.05)",50,20.34472689128514,9.175988515946296,42
"[120, 80]",0.00019306977288832496,0.002,0.001,0.2,0.8,elu,rprop_prev_grad,0.0001,16,orthogonal,"(-0.05, 0.05)",100,17.012429599833045,8.484771607070588,43
"[50, 50, 50]",0.00026826957952797245,0.002,0.0005,0.3,0.9,relu,adamw,0.0001,8,glorot,"(-0.05, 0.05)",100,0.8673068476901765,2.00054711237439,44
"[100, 70]",0.0005179474679231213,0.0005,0.0,0.1,0.7,relu,quickprop,0.001,16,he,"(-0.05, 0.05)",100,23.535032757711555,9.548559700287239,45
"[120, 80]",0.0005179474679231213,0.0005,0.001,0.3,0.7,relu,quickprop,0.0001,128,xavier,"(-0.05, 0.05)",100,22.71546521427024,9.889941798887016,46
"[60, 60]",0.0005179474679231213,0.0001,0.001,0.3,0.9,relu,quickprop,0.0,32,orthogonal,"(-0.05, 0.05)",50,18.785605330254057,8.81258626577121,47
"[120, 80]",0.0005179474679231213,0.001,0.001,0.1,0.8,relu,rprop_prev_grad,0.001,8,orthogonal,"(-0.05, 0.05)",50,12.697779833526711,7.38834850225842,48
"[200, 200]",0.0007196856730011522,1e-05,0.001,0.1,0.7,leaky_relu,quickprop,0.0001,16,orthogonal,"(-0.05, 0.05)",100,14.431166025832095,7.827539575787846,49
"[50, 50, 50]",0.0007196856730011522,0.0001,0.001,0.2,0.7,elu,sgd,0.001,128,xavier,"(-0.05, 0.05)",50,1.8360608565813297,2.976165215888136,50
"[200, 200]",0.00013894954943731373,0.002,0.0,0.0,0.7,relu,sgd,0.001,16,he,"(-0.05, 0.05)",100,0.25812059968257717,1.0310768085345863,51
"[200, 200]",0.00013894954943731373,0.0005,0.0001,0.3,0.9,leaky_relu,adamw,0.0,128,range,"(-0.05, 0.05)",50,0.45867747100812284,1.500028928614645,52
"[100, 70]",0.00013894954943731373,0.0005,0.0,0.2,0.9,elu,quickprop,0.001,16,xavier,"(-0.05, 0.05)",50,30.09240149999561,10.650174939630906,53
