n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[5],0.10999999999999997,0.008,0.004,0.05,0.6,relu,sgd,0.04,32,xavier,"(-0.1, 0.1)",20,0.7426195105662745,0.24,41
[6],0.06999999999999999,0.018000000000000002,0.008,0.25,0.7,relu,adam,0.04,8,xavier,"(-0.1, 0.1)",20,1.487511904355329,0.4,42
[6],0.049999999999999996,0.014,0.004,0.0,0.5,leaky_relu,adam,0.02,8,glorot,"(-0.1, 0.1)",20,1.2367684664135818,0.28,43
[6],0.18999999999999997,0.002,0.0,0.2,0.6,relu,adam,0.01,16,xavier,"(-0.7, 0.7)",20,0.8490953916193001,0.44,44
[3],0.15,0.01,0.0,0.25,0.7,leaky_relu,sgd,0.03,8,range,"(-0.7, 0.7)",30,1.5122909942322351,0.36,45
[4],0.10999999999999997,0.014,0.008,0.1,0.7999999999999999,sigmoid,sgd,0.03,8,glorot,"(-0.7, 0.7)",20,0.8124419807705163,0.16,46
[6],0.16999999999999998,0.018000000000000002,0.004,0.0,0.7,sigmoid,adam,0.0,64,range,"(-0.5, 0.5)",30,4.280113949843952,0.48,47
[5],0.01,0.008,0.0,0.15000000000000002,0.7,sigmoid,adam,0.01,64,range,"(-0.5, 0.5)",30,1.006957466526184,0.4,48
[5],0.15,0.01,0.006,0.05,0.8999999999999999,relu,adam,0.0,64,range,"(-0.5, 0.5)",10,0.8280840344333799,0.16,49
[5],0.01,0.0,0.004,0.15000000000000002,0.6,sigmoid,sgd,0.03,16,glorot,"(-0.5, 0.5)",10,0.6002062703483352,0.84,50
[4],0.01,0.0,0.008,0.15000000000000002,0.7999999999999999,relu,adam,0.02,32,xavier,"(-0.7, 0.7)",10,0.7260752557077129,0.32,51
[5],0.01,0.012,0.0,0.0,0.7999999999999999,tanh,sgd,0.0,8,he,"(-0.1, 0.1)",30,1.6183381177912959,0.48,52
[4],0.12999999999999998,0.0,0.002,0.15000000000000002,0.5,leaky_relu,adam,0.04,8,he,"(-0.5, 0.5)",10,1.5276421024253939,0.16,53
[3],0.049999999999999996,0.006,0.004,0.2,0.5,sigmoid,sgd,0.0,64,glorot,"(-0.7, 0.7)",30,0.8106220221721997,0.16,54
[6],0.10999999999999997,0.01,0.002,0.15000000000000002,0.7999999999999999,sigmoid,adam,0.01,64,he,"(-0.1, 0.1)",10,0.8231507560911896,0.16,55
[4],0.01,0.002,0.008,0.1,0.7,leaky_relu,sgd,0.04,16,range,"(-0.1, 0.1)",10,0.6966909748416089,0.16,56
[6],0.01,0.0,0.006,0.1,0.7999999999999999,sigmoid,adam,0.01,64,range,"(-0.7, 0.7)",20,0.804990867250797,0.16,57
[3],0.16999999999999998,0.016,0.006,0.25,0.6,relu,adam,0.01,64,glorot,"(-0.7, 0.7)",30,9.922308653398765,0.32,58
[3],0.01,0.002,0.0,0.1,0.8999999999999999,leaky_relu,adam,0.01,16,xavier,"(-0.1, 0.1)",30,2.0311928748194132,0.48,59
[5],0.10999999999999997,0.018000000000000002,0.0,0.15000000000000002,0.8999999999999999,leaky_relu,sgd,0.03,8,xavier,"(-0.5, 0.5)",30,3.8208448565872937,0.48,60
[6],0.10999999999999997,0.004,0.004,0.0,0.6,tanh,sgd,0.03,16,he,"(-0.7, 0.7)",30,2.7316826373437575,0.48,61
[3],0.08999999999999998,0.01,0.0,0.05,0.6,tanh,sgd,0.02,8,glorot,"(-0.5, 0.5)",10,0.7612909720865823,0.16,62
[6],0.03,0.018000000000000002,0.002,0.0,0.7,relu,sgd,0.0,32,glorot,"(-0.5, 0.5)",10,0.8414977868334248,0.28,63
[4],0.03,0.016,0.0,0.2,0.6,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",30,0.9753353538811261,0.44,64
[4],0.06999999999999999,0.01,0.004,0.2,0.6,sigmoid,sgd,0.0,16,glorot,"(-0.5, 0.5)",10,0.6466629179980043,0.84,65
[6],0.10999999999999997,0.002,0.004,0.0,0.6,tanh,adam,0.03,16,he,"(-0.7, 0.7)",20,0.6439884960347574,0.6,66
[4],0.08999999999999998,0.004,0.0,0.1,0.8999999999999999,relu,adam,0.0,16,glorot,"(-0.1, 0.1)",30,4.938314918204518,0.48,67
[4],0.12999999999999998,0.01,0.002,0.2,0.7,tanh,adam,0.01,32,he,"(-0.7, 0.7)",10,0.707983663920009,0.48,68
[3],0.06999999999999999,0.006,0.002,0.2,0.5,tanh,adam,0.04,64,xavier,"(-0.1, 0.1)",20,0.7398362033904224,0.36,69
[3],0.15,0.006,0.006,0.0,0.8999999999999999,sigmoid,adam,0.03,16,xavier,"(-0.1, 0.1)",20,0.880396792911004,0.16,70
[3],0.16999999999999998,0.012,0.008,0.1,0.7,relu,sgd,0.03,8,xavier,"(-0.1, 0.1)",30,6.950348940507827,0.48,71
[5],0.049999999999999996,0.0,0.004,0.0,0.5,tanh,sgd,0.0,64,range,"(-0.5, 0.5)",20,0.6627730533677265,0.8,72
[3],0.16999999999999998,0.008,0.004,0.2,0.8999999999999999,tanh,adam,0.03,8,glorot,"(-0.7, 0.7)",20,0.8990558552603158,0.48,73
[4],0.18999999999999997,0.012,0.006,0.0,0.5,relu,sgd,0.04,8,glorot,"(-0.1, 0.1)",10,0.6412767838573111,0.48,74
[5],0.16999999999999998,0.006,0.002,0.25,0.5,sigmoid,adam,0.01,64,glorot,"(-0.7, 0.7)",30,3.440792525347644,0.48,75
[4],0.03,0.016,0.006,0.0,0.7999999999999999,sigmoid,sgd,0.02,32,xavier,"(-0.1, 0.1)",30,0.8222698791808658,0.36,76
[3],0.12999999999999998,0.008,0.0,0.1,0.6,tanh,adam,0.03,64,glorot,"(-0.5, 0.5)",30,2.997394846010974,0.48,77
[6],0.06999999999999999,0.006,0.006,0.1,0.7,leaky_relu,adam,0.04,64,range,"(-0.1, 0.1)",10,0.8161846143412353,0.16,78
[6],0.03,0.004,0.008,0.1,0.8999999999999999,sigmoid,adam,0.02,64,glorot,"(-0.1, 0.1)",30,1.6267703901555928,0.48,79
[3],0.15,0.004,0.004,0.05,0.6,leaky_relu,sgd,0.04,32,glorot,"(-0.1, 0.1)",10,0.6918452307016429,0.48,80
[6],0.18999999999999997,0.004,0.0,0.15000000000000002,0.7999999999999999,sigmoid,adam,0.04,8,glorot,"(-0.1, 0.1)",10,0.9865275531993014,0.48,81
[5],0.10999999999999997,0.002,0.0,0.1,0.7999999999999999,relu,adam,0.01,8,he,"(-0.5, 0.5)",20,0.9612062764524729,0.48,82
[4],0.12999999999999998,0.002,0.002,0.05,0.8999999999999999,relu,adam,0.03,64,range,"(-0.7, 0.7)",10,0.8349403564289893,0.16,83
[4],0.08999999999999998,0.018000000000000002,0.006,0.0,0.6,relu,sgd,0.04,8,range,"(-0.7, 0.7)",10,0.8098490702902604,0.16,84
[6],0.01,0.008,0.008,0.0,0.5,relu,adam,0.02,8,xavier,"(-0.5, 0.5)",30,4.725745158933633,0.48,85
[5],0.03,0.002,0.008,0.15000000000000002,0.5,tanh,sgd,0.03,64,he,"(-0.1, 0.1)",10,0.8372365200282398,0.36,86
[6],0.10999999999999997,0.018000000000000002,0.004,0.15000000000000002,0.5,relu,adam,0.03,16,xavier,"(-0.5, 0.5)",10,0.9753742815615098,0.48,87
[4],0.18999999999999997,0.004,0.004,0.25,0.5,relu,adam,0.03,64,glorot,"(-0.1, 0.1)",10,1.4035649482835277,0.28,88
[3],0.049999999999999996,0.002,0.008,0.25,0.7999999999999999,relu,sgd,0.0,32,range,"(-0.7, 0.7)",10,0.6730832935013787,0.68,89
[6],0.15,0.016,0.0,0.25,0.6,relu,adam,0.03,8,he,"(-0.7, 0.7)",20,1.3615199216977494,0.24,90
[5],0.08999999999999998,0.008,0.006,0.0,0.7,tanh,sgd,0.0,8,range,"(-0.7, 0.7)",10,0.8080675383230823,0.16,91
[4],0.049999999999999996,0.006,0.004,0.0,0.7999999999999999,relu,sgd,0.02,64,xavier,"(-0.1, 0.1)",20,0.710497612909781,0.4,92
[5],0.10999999999999997,0.016,0.006,0.0,0.8999999999999999,relu,sgd,0.01,8,he,"(-0.5, 0.5)",20,0.8152559970030054,0.36,93
[6],0.049999999999999996,0.002,0.006,0.25,0.5,sigmoid,adam,0.01,32,xavier,"(-0.5, 0.5)",30,1.9623783317804127,0.48,94
[5],0.06999999999999999,0.014,0.004,0.05,0.8999999999999999,sigmoid,adam,0.0,64,glorot,"(-0.5, 0.5)",10,0.8459310418523005,0.16,95
[3],0.10999999999999997,0.014,0.0,0.15000000000000002,0.8999999999999999,sigmoid,adam,0.02,32,range,"(-0.5, 0.5)",30,1.1673286317851672,0.48,96
[5],0.12999999999999998,0.004,0.006,0.2,0.6,leaky_relu,adam,0.03,32,he,"(-0.7, 0.7)",30,6.270886907900968,0.48,97
[5],0.08999999999999998,0.008,0.004,0.2,0.7999999999999999,relu,adam,0.02,8,glorot,"(-0.1, 0.1)",10,1.0320752556290749,0.4,98
[6],0.16999999999999998,0.008,0.006,0.25,0.7,tanh,sgd,0.02,64,glorot,"(-0.5, 0.5)",30,1.9731289702051673,0.48,99
[5],0.06999999999999999,0.014,0.0,0.15000000000000002,0.7999999999999999,sigmoid,adam,0.01,32,range,"(-0.5, 0.5)",20,0.8295876759504063,0.16,100
[5],0.03,0.006,0.006,0.05,0.7,tanh,adam,0.0,8,glorot,"(-0.7, 0.7)",20,0.06366618969077481,1.0,1
[6],0.16999999999999998,0.018000000000000002,0.004,0.0,0.5,relu,adam,0.0,64,he,"(-0.1, 0.1)",10,0.7251984632338421,0.68,2
[5],0.06999999999999999,0.006,0.002,0.15000000000000002,0.5,relu,adam,0.03,32,he,"(-0.1, 0.1)",20,0.07007669497664878,1.0,3
[5],0.12999999999999998,0.0,0.004,0.05,0.8999999999999999,leaky_relu,adam,0.02,8,range,"(-0.5, 0.5)",20,0.024901827250526497,1.0,4
[5],0.15,0.0,0.004,0.15000000000000002,0.5,leaky_relu,adam,0.03,8,range,"(-0.1, 0.1)",20,0.29458454590118677,0.84,5
[4],0.18999999999999997,0.008,0.004,0.0,0.5,leaky_relu,adam,0.01,16,xavier,"(-0.5, 0.5)",20,0.28269963944706983,0.92,6
[6],0.06999999999999999,0.014,0.002,0.0,0.7,leaky_relu,sgd,0.03,16,xavier,"(-0.5, 0.5)",20,0.36449199648905417,0.8,7
[4],0.10999999999999997,0.004,0.006,0.1,0.5,tanh,sgd,0.02,32,he,"(-0.5, 0.5)",30,0.44460326975110015,0.8,8
[6],0.12999999999999998,0.018000000000000002,0.002,0.1,0.7,tanh,sgd,0.02,64,range,"(-0.5, 0.5)",10,0.5073460927167023,0.8,9
[6],0.12999999999999998,0.014,0.004,0.15000000000000002,0.7,leaky_relu,adam,0.04,32,xavier,"(-0.1, 0.1)",10,0.14852599651676998,0.96,10
[5],0.049999999999999996,0.008,0.008,0.1,0.5,tanh,adam,0.0,8,xavier,"(-0.1, 0.1)",10,0.06735243236911845,1.0,11
[4],0.06999999999999999,0.0,0.002,0.2,0.8999999999999999,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",10,0.35599733341808626,0.88,12
[6],0.16999999999999998,0.006,0.0,0.1,0.5,relu,adam,0.0,64,range,"(-0.7, 0.7)",20,0.3184071532017872,0.88,13
[3],0.16999999999999998,0.012,0.006,0.1,0.7,sigmoid,adam,0.04,64,he,"(-0.7, 0.7)",30,0.5197342204307397,0.84,14
[3],0.06999999999999999,0.0,0.008,0.25,0.5,relu,sgd,0.03,8,range,"(-0.5, 0.5)",20,0.4227717657784485,0.88,15
[4],0.08999999999999998,0.004,0.0,0.0,0.8999999999999999,sigmoid,sgd,0.0,16,range,"(-0.7, 0.7)",10,0.3856836811426633,0.8,16
[6],0.06999999999999999,0.018000000000000002,0.008,0.15000000000000002,0.5,relu,adam,0.03,16,xavier,"(-0.5, 0.5)",10,0.20484823839917346,0.96,17
[5],0.01,0.004,0.008,0.15000000000000002,0.8999999999999999,sigmoid,sgd,0.0,64,glorot,"(-0.7, 0.7)",10,0.6682830561876152,0.6,18
[3],0.01,0.01,0.0,0.25,0.5,leaky_relu,sgd,0.02,64,he,"(-0.1, 0.1)",10,0.7239886432212392,0.44,19
[3],0.049999999999999996,0.008,0.004,0.1,0.5,tanh,sgd,0.02,64,xavier,"(-0.5, 0.5)",30,0.628833097467442,0.6,20
[4],0.01,0.004,0.006,0.2,0.8999999999999999,leaky_relu,sgd,0.02,8,xavier,"(-0.1, 0.1)",30,0.5647626897931316,0.76,21
[5],0.16999999999999998,0.018000000000000002,0.002,0.1,0.7999999999999999,leaky_relu,sgd,0.03,64,he,"(-0.7, 0.7)",20,0.42154433436171146,0.8,22
[4],0.15,0.008,0.006,0.2,0.5,sigmoid,adam,0.04,16,range,"(-0.5, 0.5)",30,0.2783457973657848,0.96,23
[3],0.06999999999999999,0.002,0.006,0.1,0.6,tanh,adam,0.03,16,glorot,"(-0.5, 0.5)",10,0.22368932719903742,0.92,24
[3],0.10999999999999997,0.014,0.008,0.15000000000000002,0.7999999999999999,tanh,sgd,0.02,16,glorot,"(-0.1, 0.1)",30,0.3508814066199527,0.92,25
[6],0.08999999999999998,0.006,0.008,0.1,0.8999999999999999,relu,sgd,0.01,64,glorot,"(-0.7, 0.7)",20,0.41618311254885554,0.8,26
[5],0.12999999999999998,0.01,0.0,0.0,0.7999999999999999,leaky_relu,sgd,0.02,32,he,"(-0.1, 0.1)",20,0.30967502191171087,0.92,27
[5],0.03,0.006,0.004,0.2,0.6,sigmoid,adam,0.02,8,xavier,"(-0.7, 0.7)",20,0.4740470675178739,0.84,28
[6],0.06999999999999999,0.004,0.008,0.15000000000000002,0.5,tanh,sgd,0.04,32,he,"(-0.5, 0.5)",20,0.5207447819617301,0.76,29
[6],0.16999999999999998,0.01,0.002,0.2,0.5,relu,sgd,0.0,64,range,"(-0.5, 0.5)",10,0.4950605084110335,0.84,30
