n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[3],0.01,0.0,0.0,0.1,0.8,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.40296518808680987,0.8
[3],0.01,0.0,0.0,0.1,0.8,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.4701857073218886,0.84
[3],0.01,0.0,0.0,0.1,0.8,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.44567501596876946,0.88
[3],0.01,0.0,0.0,0.1,0.8,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.621800363004463,0.6
[3],0.01,0.0,0.0,0.1,0.8,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.6687195666192457,0.68
[3],0.01,0.0,0.0,0.1,0.8,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6175996923803125,0.6
[3],0.01,0.0,0.0,0.1,0.8,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.6741848657736316,0.64
[3],0.01,0.0,0.0,0.1,0.8,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.3064053214797318,0.88
[3],0.01,0.0,0.0,0.1,0.8,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.5998099601139932,0.64
[3],0.01,0.0,0.0,0.1,0.8,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.26064339640928896,1.0
[3],0.01,0.0,0.0,0.1,0.8,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.4097553405672769,0.88
[3],0.01,0.0,0.0,0.1,0.9,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5060760572969151,0.84
[3],0.01,0.0,0.0,0.1,0.9,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5198970375540225,0.8
[3],0.01,0.0,0.0,0.1,0.9,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.602709245728728,0.68
[3],0.01,0.0,0.0,0.1,0.9,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5332186227648212,0.84
[3],0.01,0.0,0.0,0.1,0.9,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.4686415248831088,0.8
[3],0.01,0.0,0.0,0.1,0.9,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.4425108085447522,0.88
[3],0.01,0.0,0.0,0.1,0.9,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.5077625735206615,0.8
[3],0.01,0.0,0.0,0.1,0.9,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.5646294423366771,0.8
[3],0.01,0.0,0.0,0.1,0.9,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5327485200123394,0.68
[3],0.01,0.0,0.0,0.1,0.9,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5973376003741774,0.6
[3],0.01,0.0,0.0,0.1,0.9,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.5778921439667475,0.72
[3],0.01,0.0,0.0,0.1,0.9,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.6415768345730603,0.72
[3],0.01,0.0,0.0,0.1,0.9,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.5327319924940777,0.68
[3],0.01,0.0,0.0,0.1,0.9,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.35904067912678933,0.88
[3],0.01,0.0,0.0,0.1,0.9,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.4765994929169593,0.8
[3],0.01,0.0,0.0,0.1,0.9,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.3562774007796889,0.96
[3],0.01,0.0,0.0,0.2,0.8,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.6046917853081228,0.88
[3],0.01,0.0,0.0,0.2,0.8,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5943066752548526,0.76
[3],0.01,0.0,0.0,0.2,0.8,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6788401498211215,0.68
[3],0.01,0.0,0.0,0.2,0.8,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.6733688534005947,0.56
[3],0.01,0.0,0.0,0.2,0.8,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.4763092993170774,0.8
[3],0.01,0.0,0.0,0.2,0.8,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.48691861417039634,0.8
[3],0.01,0.0,0.0,0.2,0.8,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.518518894978225,0.84
