n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[3],0.01,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.14559457403896148,0.4411764705882353,1
[3],0.01,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.14727147264685497,0.4411764705882353,2
[3],0.16,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.004039385038284415,1.0,3
[4],0.16,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.006572704240354486,1.0,4
[3],0.01,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.14671320744442168,0.4411764705882353,5
[4],0.16,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,4,he,"(-0.1, 0.1)",15,0.004857995541358747,1.0,6
[4],0.01,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,8,glorot,"(-0.5, 0.5)",15,0.14836722470702715,0.4411764705882353,7
[3],0.16,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,8,glorot,"(-0.5, 0.5)",15,0.0323448533619462,1.0,8
[4],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.010136059966001927,1.0,9
[3],0.16,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.005187127216423643,1.0,10
[4],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,8,glorot,"(-0.1, 0.1)",15,0.004692326291691227,1.0,11
[3],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,4,he,"(-0.1, 0.1)",15,0.006117887280275042,1.0,12
[3],0.01,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.14612639235715083,0.4411764705882353,13
[4],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.0009983434259003868,1.0,14
[3],0.01,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,glorot,"(-0.1, 0.1)",15,0.14682911043198585,0.4411764705882353,15
[3],0.01,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.14478624016228367,0.4411764705882353,16
[3],0.16,0.0,0.0,0.15000000000000002,0.75,sigmoid,sgd,0.0,4,he,"(-0.1, 0.1)",15,0.006064202923231124,1.0,17
[3],0.01,0.0,0.0,0.15000000000000002,0.8,sigmoid,sgd,0.0,2,he,"(-0.1, 0.1)",15,0.14374431332263746,0.4411764705882353,18
[4],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.008094398352635463,1.0,19
[4],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,4,he,"(-0.5, 0.5)",15,0.005317123855484817,1.0,20
[4],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.008274606105288226,1.0,21
[3],0.01,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,2,glorot,"(-0.1, 0.1)",15,0.1462424285402468,0.4411764705882353,22
[3],0.01,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,4,he,"(-0.1, 0.1)",15,0.14451430183562103,0.4411764705882353,23
[4],0.16,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.03481664075959883,1.0,24
[4],0.01,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,8,glorot,"(-0.5, 0.5)",15,0.14828221260656632,0.4411764705882353,25
[4],0.16,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.01221966705586312,1.0,27
[3],0.16,0.0,0.0,0.2,0.8500000000000001,sigmoid,sgd,0.0,4,glorot,"(-0.1, 0.1)",15,0.02433284240105872,1.0,28
[4],0.01,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.14501242519779364,0.4411764705882353,29
[4],0.01,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,4,glorot,"(-0.1, 0.1)",15,0.14740960838689124,0.4411764705882353,30
[4],0.01,0.0,0.0,0.25,0.7,sigmoid,sgd,0.0,4,he,"(-0.5, 0.5)",15,0.14485689141948252,0.4411764705882353,31
[3],0.01,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,4,glorot,"(-0.5, 0.5)",15,0.14689126242078276,0.4411764705882353,32
[4],0.01,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,4,glorot,"(-0.5, 0.5)",15,0.146896695786017,0.4411764705882353,33
[4],0.01,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,8,glorot,"(-0.1, 0.1)",15,0.14955352606813965,0.4411764705882353,34
[4],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,4,he,"(-0.5, 0.5)",15,0.003778588007767956,1.0,35
[3],0.01,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.14931172159426848,0.4411764705882353,36
[4],0.16,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,8,glorot,"(-0.5, 0.5)",15,0.01900400250469088,1.0,37
[3],0.01,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,2,he,"(-0.1, 0.1)",15,0.14792885304206113,0.4411764705882353,38
[4],0.16,0.0,0.0,0.25,0.9000000000000001,sigmoid,sgd,0.0,2,glorot,"(-0.1, 0.1)",15,0.009715391124833267,1.0,39
[3],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,2,he,"(-0.5, 0.5)",15,0.005434467883305024,1.0,40
[4],0.16,0.0,0.0,0.2,0.8500000000000001,sigmoid,sgd,0.0,8,he,"(-0.5, 0.5)",15,0.04688901546790944,0.9411764705882353,41
[3],0.16,0.0,0.0,0.15000000000000002,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.07483537009368249,0.7941176470588235,42
[3],0.01,0.0,0.0,0.15000000000000002,0.75,sigmoid,sgd,0.0,8,he,"(-0.5, 0.5)",15,0.14643531015216624,0.4411764705882353,43
[3],0.01,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,4,he,"(-0.5, 0.5)",15,0.14646920223639284,0.4411764705882353,44
[3],0.16,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,8,glorot,"(-0.5, 0.5)",15,0.0040789077236880215,1.0,45
[3],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,2,he,"(-0.1, 0.1)",15,0.00229196097975641,1.0,46
[3],0.16,0.0,0.0,0.15000000000000002,0.8,sigmoid,sgd,0.0,4,he,"(-0.5, 0.5)",15,0.005091075326995466,1.0,47
[3],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.002505739707404584,1.0,48
[3],0.01,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.1485027715373076,0.4411764705882353,49
[3],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,glorot,"(-0.1, 0.1)",15,0.0040449705796749905,1.0,50
[3],0.16,0.0,0.0,0.25,0.9000000000000001,sigmoid,sgd,0.0,2,glorot,"(-0.5, 0.5)",15,0.015038546254389058,1.0,51
[3],0.16,0.0,0.0,0.15000000000000002,0.7,sigmoid,sgd,0.0,2,glorot,"(-0.5, 0.5)",15,0.0454005629474032,0.9117647058823529,52
[4],0.16,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.021330875039695954,1.0,53
[4],0.16,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,4,he,"(-0.5, 0.5)",15,0.003739724856890266,1.0,54
[4],0.01,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,8,he,"(-0.5, 0.5)",15,0.14517867331508827,0.4411764705882353,55
[4],0.16,0.0,0.0,0.1,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.011314455375084463,1.0,57
[3],0.01,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.14830154832414025,0.4411764705882353,58
[3],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.0034840816912863268,1.0,59
[3],0.01,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,2,he,"(-0.5, 0.5)",15,0.14640720871655954,0.4411764705882353,60
[3],0.01,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.12404831218404333,0.4411764705882353,61
[4],0.01,0.0,0.0,0.2,0.8500000000000001,sigmoid,sgd,0.0,8,glorot,"(-0.1, 0.1)",15,0.15003160602327775,0.4411764705882353,62
[3],0.01,0.0,0.0,0.25,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.14705938758850443,0.4411764705882353,63
[3],0.16,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,8,he,"(-0.5, 0.5)",15,0.005187127216423643,1.0,64
[3],0.01,0.0,0.0,0.1,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.1364328984847641,0.4411764705882353,65
[3],0.01,0.0,0.0,0.1,0.9000000000000001,sigmoid,sgd,0.0,8,he,"(-0.5, 0.5)",15,0.1464850668790761,0.4411764705882353,66
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.0024580056171896484,1.0,67
[4],0.01,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,2,he,"(-0.5, 0.5)",15,0.08899558515627573,0.7058823529411765,68
[4],0.01,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.14819386574478483,0.4411764705882353,70
[4],0.16,0.0,0.0,0.25,0.8500000000000001,sigmoid,sgd,0.0,4,glorot,"(-0.5, 0.5)",15,0.011695241082951615,1.0,71
[3],0.01,0.0,0.0,0.25,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.11281994350783821,0.4411764705882353,72
[4],0.01,0.0,0.0,0.25,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.14648197906313662,0.4411764705882353,73
[3],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.00723265595708337,1.0,74
[4],0.16,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,4,glorot,"(-0.5, 0.5)",15,0.009053925706446683,1.0,75
[4],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,8,he,"(-0.5, 0.5)",15,0.009789987984838188,1.0,76
[4],0.01,0.0,0.0,0.15000000000000002,0.7,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.14487503614763012,0.4411764705882353,77
[3],0.16,0.0,0.0,0.25,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.10103216957204711,0.4411764705882353,78
[4],0.16,0.0,0.0,0.25,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.04309052630774004,1.0,79
[3],0.01,0.0,0.0,0.15000000000000002,0.75,sigmoid,sgd,0.0,4,he,"(-0.5, 0.5)",15,0.14664627415340922,0.4411764705882353,80
[4],0.01,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.13785413517723005,0.4411764705882353,81
[4],0.01,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,4,glorot,"(-0.1, 0.1)",15,0.1465209878296092,0.4411764705882353,82
[3],0.16,0.0,0.0,0.1,0.9000000000000001,sigmoid,sgd,0.0,2,he,"(-0.5, 0.5)",15,0.002337497159804679,1.0,83
[3],0.01,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.13792300836956028,0.4411764705882353,84
[4],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.002988633075094337,1.0,85
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.0018822875705175235,1.0,86
[3],0.01,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.1460962568084002,0.4411764705882353,87
[4],0.16,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,2,glorot,"(-0.5, 0.5)",15,0.0014418104619626172,1.0,89
[3],0.01,0.0,0.0,0.25,0.8500000000000001,sigmoid,sgd,0.0,2,he,"(-0.5, 0.5)",15,0.14667462716094806,0.4411764705882353,90
[3],0.01,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,glorot,"(-0.1, 0.1)",15,0.14672244945788884,0.4411764705882353,91
[4],0.01,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,4,he,"(-0.1, 0.1)",15,0.12159719078554672,0.4411764705882353,92
[4],0.01,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,2,he,"(-0.1, 0.1)",15,0.13182352463010455,0.4411764705882353,93
[3],0.01,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.14877701129899704,0.4411764705882353,94
[4],0.01,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,2,glorot,"(-0.1, 0.1)",15,0.14606209638841425,0.4411764705882353,95
[3],0.01,0.0,0.0,0.1,0.75,sigmoid,sgd,0.0,2,glorot,"(-0.5, 0.5)",15,0.1441735534696125,0.4411764705882353,96
[3],0.01,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,8,glorot,"(-0.5, 0.5)",15,0.14668479313310345,0.4411764705882353,97
[4],0.01,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.08019086511181477,0.8529411764705882,98
[3],0.01,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,2,glorot,"(-0.1, 0.1)",15,0.1381424793762228,0.4117647058823529,99
[3],0.16,0.0,0.0,0.15000000000000002,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.09279663412244787,0.5882352941176471,100
[4],0.16,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.026149697391304794,1.0,101
[4],0.16,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,4,glorot,"(-0.5, 0.5)",15,0.011543740079836386,1.0,103
[3],0.16,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,4,glorot,"(-0.5, 0.5)",15,0.0323394597281785,1.0,104
[4],0.16,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,2,glorot,"(-0.1, 0.1)",15,0.0008643944796758796,1.0,105
[4],0.16,0.0,0.0,0.15000000000000002,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.011845480831458236,1.0,106
[3],0.01,0.0,0.0,0.1,0.8500000000000001,sigmoid,sgd,0.0,2,glorot,"(-0.1, 0.1)",15,0.12485304686011167,0.47058823529411764,107
[4],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.008142328212487641,1.0,108
[3],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,4,glorot,"(-0.5, 0.5)",15,0.00264175811377695,1.0,109
[3],0.01,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.14971042877055157,0.4411764705882353,110
[3],0.16,0.0,0.0,0.2,0.8500000000000001,sigmoid,sgd,0.0,2,he,"(-0.1, 0.1)",15,0.006030923245491945,1.0,111
[3],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.002493036161461486,1.0,113
[4],0.01,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,glorot,"(-0.5, 0.5)",15,0.1484407191972087,0.4411764705882353,114
