Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.141363,0.5407,0.118877,0.7059
2,0.123503,0.5704,0.106005,0.7059
3,0.124453,0.6074,0.111683,0.7059
4,0.118537,0.6222,0.107154,0.6471
5,0.115412,0.6148,0.112662,0.5882
6,0.115458,0.6000,0.098690,0.6471
7,0.116755,0.6444,0.112542,0.6471
8,0.099801,0.6667,0.099564,0.6176
9,0.089332,0.6815,0.063084,0.7941
10,0.074327,0.6889,0.056357,0.7941
11,0.071536,0.7481,0.045925,0.7941
12,0.061459,0.7926,0.036541,0.9118
13,0.054642,0.8444,0.039501,0.9118
14,0.049677,0.8815,0.035727,0.9412
15,0.039710,0.9037,0.024079,0.9706
16,0.021224,0.9704,0.019553,0.9412
17,0.008619,0.9926,0.008687,0.9706
18,0.010805,0.9704,0.007697,0.9706
19,0.002586,0.9926,0.007915,0.9706
20,0.001821,1.0000,0.007191,0.9706
21,0.000620,1.0000,0.007572,0.9706
22,0.000465,1.0000,0.008111,0.9706
23,0.000358,1.0000,0.008531,0.9706
24,0.000274,1.0000,0.008704,0.9706
25,0.000189,1.0000,0.008833,0.9706
26,0.000147,1.0000,0.008984,0.9706
27,0.000118,1.0000,0.009171,0.9706
28,0.000097,1.0000,0.009252,0.9706
29,0.000081,1.0000,0.009315,0.9706
30,0.000068,1.0000,0.009358,0.9706
31,0.000059,1.0000,0.009407,0.9706
32,0.000051,1.0000,0.009409,0.9706
33,0.000046,1.0000,0.009343,0.9706
34,0.000041,1.0000,0.009272,0.9706
35,0.000037,1.0000,0.009222,0.9706
36,0.000033,1.0000,0.009177,0.9706
37,0.000030,1.0000,0.009204,0.9706
38,0.000027,1.0000,0.009244,0.9706
39,0.000025,1.0000,0.009215,0.9706
