n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[4],0.10999999999999997,0.0,0.002,0.0,0.5,sigmoid,adam,0.0,16,range,"(-0.7, 0.7)",20,0.005270263264206371,1.0
[5],0.06999999999999999,0.0,0.004,0.0,0.30000000000000004,tanh,adam,0.02,32,range,"(-0.1, 0.1)",30,0.007458819174479112,1.0
[4],0.10999999999999997,0.0,0.0,0.05,0.2,sigmoid,adam,0.0,32,glorot,"(-0.7, 0.7)",15,0.000843107739719294,1.0
[5],0.18999999999999997,0.0,0.002,0.15000000000000002,0.8,sigmoid,adam,0.03,8,gaussian,"(-0.5, 0.5)",30,0.011431632556645751,1.0
[6],0.06999999999999999,0.002,0.0,0.2,0.6000000000000001,tanh,adam,0.0,32,xavier,"(-0.7, 0.7)",30,0.016588639292554434,1.0
[4],0.10999999999999997,0.0,0.0,0.05,0.2,sigmoid,adam,0.0,32,glorot,"(-0.7, 0.7)",10,0.000843107739719294,1.0
[4],0.10999999999999997,0.0,0.002,0.0,0.6000000000000001,tanh,adam,0.0,16,range,"(-0.7, 0.7)",30,0.004823023370572963,1.0
[5],0.06999999999999999,0.0,0.004,0.0,0.30000000000000004,tanh,adam,0.02,32,range,"(-0.1, 0.1)",35,0.007458819174479112,1.0
[4],0.10999999999999997,0.0,0.0,0.05,0.2,sigmoid,adam,0.0,32,glorot,"(-0.7, 0.7)",35,0.000843107739719294,1.0
[5],0.18999999999999997,0.0,0.002,0.15000000000000002,0.8,sigmoid,adam,0.03,8,gaussian,"(-0.5, 0.5)",35,0.011431632556645751,1.0
[6],0.06999999999999999,0.002,0.0,0.2,0.6000000000000001,tanh,adam,0.0,32,xavier,"(-0.7, 0.7)",35,0.016588639292554434,1.0
