n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,4,glorot,"(-0.5, 0.5)",15,0.00039008702770474877,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,4,glorot,"(-0.1, 0.1)",15,0.00039008702770474877,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,4,he,"(-0.5, 0.5)",15,0.00011261711876334623,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,4,he,"(-0.1, 0.1)",15,0.00011261711876334623,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,glorot,"(-0.5, 0.5)",15,8.65523633141765e-05,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,glorot,"(-0.1, 0.1)",15,8.65523633141765e-05,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,he,"(-0.5, 0.5)",15,0.007934165751246372,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,he,"(-0.1, 0.1)",15,0.007934165751246372,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,8,glorot,"(-0.5, 0.5)",15,0.000374553315713909,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,8,glorot,"(-0.1, 0.1)",15,0.000374553315713909,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,8,he,"(-0.5, 0.5)",15,0.0018822875705175235,1.0
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,8,he,"(-0.1, 0.1)",15,0.0018822875705175235,1.0
[4],0.16,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,4,glorot,"(-0.5, 0.5)",15,0.00166722517510561,1.0
