Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.118830,0.5816,0.050853,0.9167
2,0.050939,0.8980,0.065218,0.8750
3,0.043261,0.9184,0.024918,0.9583
4,0.034836,0.9286,0.027376,0.9583
5,0.030033,0.9490,0.038731,0.9583
6,0.039425,0.9286,0.035963,0.9167
7,0.039499,0.9286,0.029574,0.9583
8,0.032101,0.9388,0.031337,0.9583
9,0.027233,0.9694,0.030567,0.9583
10,0.030549,0.9592,0.026501,0.9583
11,0.029446,0.9694,0.033175,0.9583
12,0.033752,0.9490,0.028051,0.9583
13,0.032194,0.9694,0.034019,0.9583
14,0.033642,0.9592,0.030436,0.9583
15,0.028193,0.9694,0.029756,0.9583
16,0.026698,0.9694,0.030238,0.9583
17,0.026761,0.9796,0.030840,0.9583
1,0.118830,0.5816,0.050853,0.9167
2,0.050939,0.8980,0.065218,0.8750
3,0.043261,0.9184,0.024918,0.9583
4,0.034836,0.9286,0.027376,0.9583
5,0.030033,0.9490,0.038731,0.9583
6,0.039425,0.9286,0.035963,0.9167
7,0.039499,0.9286,0.029574,0.9583
8,0.032101,0.9388,0.031337,0.9583
9,0.027233,0.9694,0.030567,0.9583
10,0.030549,0.9592,0.026501,0.9583
11,0.029446,0.9694,0.033175,0.9583
12,0.033752,0.9490,0.028051,0.9583
13,0.032194,0.9694,0.034019,0.9583
14,0.033642,0.9592,0.030436,0.9583
15,0.028193,0.9694,0.029756,0.9583
16,0.026698,0.9694,0.030238,0.9583
17,0.026761,0.9796,0.030840,0.9583
18,0.033072,0.9694,0.029218,0.9583
19,0.030565,0.9694,0.028872,0.9583
20,0.029480,0.9694,0.031046,0.9583
21,0.027626,0.9694,0.029844,0.9583
22,0.027830,0.9796,0.030083,0.9583
1,0.118830,0.5816,0.050853,0.9167
2,0.050939,0.8980,0.065218,0.8750
3,0.043261,0.9184,0.024918,0.9583
4,0.034836,0.9286,0.027376,0.9583
5,0.030033,0.9490,0.038731,0.9583
6,0.039425,0.9286,0.035963,0.9167
7,0.039499,0.9286,0.029574,0.9583
8,0.032101,0.9388,0.031337,0.9583
9,0.027233,0.9694,0.030567,0.9583
10,0.030549,0.9592,0.026501,0.9583
11,0.029446,0.9694,0.033175,0.9583
12,0.033752,0.9490,0.028051,0.9583
13,0.032194,0.9694,0.034019,0.9583
14,0.033642,0.9592,0.030436,0.9583
15,0.028193,0.9694,0.029756,0.9583
16,0.026698,0.9694,0.030238,0.9583
17,0.026761,0.9796,0.030840,0.9583
18,0.033072,0.9694,0.029218,0.9583
19,0.030565,0.9694,0.028872,0.9583
20,0.029480,0.9694,0.031046,0.9583
21,0.027626,0.9694,0.029844,0.9583
22,0.027830,0.9796,0.030083,0.9583
1,0.118830,0.5816,0.050853,0.9167
2,0.050939,0.8980,0.065218,0.8750
3,0.043261,0.9184,0.024918,0.9583
4,0.034836,0.9286,0.027376,0.9583
5,0.030033,0.9490,0.038731,0.9583
6,0.039425,0.9286,0.035963,0.9167
7,0.039499,0.9286,0.029574,0.9583
8,0.032101,0.9388,0.031337,0.9583
9,0.027233,0.9694,0.030567,0.9583
10,0.030549,0.9592,0.026501,0.9583
11,0.029446,0.9694,0.033175,0.9583
12,0.033752,0.9490,0.028051,0.9583
13,0.032194,0.9694,0.034019,0.9583
14,0.033642,0.9592,0.030436,0.9583
15,0.028193,0.9694,0.029756,0.9583
16,0.026698,0.9694,0.030238,0.9583
17,0.026761,0.9796,0.030840,0.9583
18,0.033072,0.9694,0.029218,0.9583
19,0.030565,0.9694,0.028872,0.9583
20,0.029480,0.9694,0.031046,0.9583
21,0.027626,0.9694,0.029844,0.9583
22,0.027830,0.9796,0.030083,0.9583
1,0.118830,0.5816,0.050853,0.9167
2,0.050939,0.8980,0.065218,0.8750
3,0.043261,0.9184,0.024918,0.9583
4,0.034836,0.9286,0.027376,0.9583
5,0.030033,0.9490,0.038731,0.9583
6,0.039425,0.9286,0.035963,0.9167
7,0.039499,0.9286,0.029574,0.9583
8,0.032101,0.9388,0.031337,0.9583
9,0.027233,0.9694,0.030567,0.9583
10,0.030549,0.9592,0.026501,0.9583
11,0.029446,0.9694,0.033175,0.9583
12,0.033752,0.9490,0.028051,0.9583
13,0.032194,0.9694,0.034019,0.9583
14,0.033642,0.9592,0.030436,0.9583
15,0.028193,0.9694,0.029756,0.9583
16,0.026698,0.9694,0.030238,0.9583
17,0.026761,0.9796,0.030840,0.9583
18,0.033072,0.9694,0.029218,0.9583
19,0.030565,0.9694,0.028872,0.9583
20,0.029480,0.9694,0.031046,0.9583
21,0.027626,0.9694,0.029844,0.9583
22,0.027830,0.9796,0.030083,0.9583
1,0.118830,0.5816,0.050853,0.9167
2,0.050939,0.8980,0.065218,0.8750
3,0.043261,0.9184,0.024918,0.9583
4,0.034836,0.9286,0.027376,0.9583
5,0.030033,0.9490,0.038731,0.9583
6,0.039425,0.9286,0.035963,0.9167
7,0.039499,0.9286,0.029574,0.9583
8,0.032101,0.9388,0.031337,0.9583
9,0.027233,0.9694,0.030567,0.9583
10,0.030549,0.9592,0.026501,0.9583
11,0.029446,0.9694,0.033175,0.9583
12,0.033752,0.9490,0.028051,0.9583
13,0.032194,0.9694,0.034019,0.9583
14,0.033642,0.9592,0.030436,0.9583
15,0.028193,0.9694,0.029756,0.9583
16,0.026698,0.9694,0.030238,0.9583
17,0.026761,0.9796,0.030840,0.9583
18,0.033072,0.9694,0.029218,0.9583
19,0.030565,0.9694,0.028872,0.9583
20,0.029480,0.9694,0.031046,0.9583
21,0.027626,0.9694,0.029844,0.9583
22,0.027830,0.9796,0.030083,0.9583
1,0.118830,0.5816,0.050853,0.9167
2,0.050939,0.8980,0.065218,0.8750
3,0.043261,0.9184,0.024918,0.9583
4,0.034836,0.9286,0.027376,0.9583
5,0.030033,0.9490,0.038731,0.9583
6,0.039425,0.9286,0.035963,0.9167
7,0.039499,0.9286,0.029574,0.9583
8,0.032101,0.9388,0.031337,0.9583
9,0.027233,0.9694,0.030567,0.9583
10,0.030549,0.9592,0.026501,0.9583
11,0.029446,0.9694,0.033175,0.9583
12,0.033752,0.9490,0.028051,0.9583
13,0.032194,0.9694,0.034019,0.9583
14,0.033642,0.9592,0.030436,0.9583
15,0.028193,0.9694,0.029756,0.9583
16,0.026698,0.9694,0.030238,0.9583
17,0.026761,0.9796,0.030840,0.9583
18,0.033072,0.9694,0.029218,0.9583
19,0.030565,0.9694,0.028872,0.9583
20,0.029480,0.9694,0.031046,0.9583
21,0.027626,0.9694,0.029844,0.9583
22,0.027830,0.9796,0.030083,0.9583
1,0.118830,0.5816,0.050853,0.9167
2,0.050939,0.8980,0.065218,0.8750
3,0.043261,0.9184,0.024918,0.9583
4,0.034836,0.9286,0.027376,0.9583
5,0.030033,0.9490,0.038731,0.9583
6,0.039425,0.9286,0.035963,0.9167
7,0.039499,0.9286,0.029574,0.9583
8,0.032101,0.9388,0.031337,0.9583
9,0.027233,0.9694,0.030567,0.9583
10,0.030549,0.9592,0.026501,0.9583
11,0.029446,0.9694,0.033175,0.9583
12,0.033752,0.9490,0.028051,0.9583
13,0.032194,0.9694,0.034019,0.9583
14,0.033642,0.9592,0.030436,0.9583
15,0.028193,0.9694,0.029756,0.9583
16,0.026698,0.9694,0.030238,0.9583
17,0.026761,0.9796,0.030840,0.9583
18,0.033072,0.9694,0.029218,0.9583
19,0.030565,0.9694,0.028872,0.9583
20,0.029480,0.9694,0.031046,0.9583
21,0.027626,0.9694,0.029844,0.9583
22,0.027830,0.9796,0.030083,0.9583
1,0.118830,0.5816,0.050853,0.9167
2,0.050939,0.8980,0.065218,0.8750
3,0.043261,0.9184,0.024918,0.9583
4,0.034836,0.9286,0.027376,0.9583
5,0.030033,0.9490,0.038731,0.9583
6,0.039425,0.9286,0.035963,0.9167
7,0.039499,0.9286,0.029574,0.9583
8,0.032101,0.9388,0.031337,0.9583
9,0.027233,0.9694,0.030567,0.9583
10,0.030549,0.9592,0.026501,0.9583
11,0.029446,0.9694,0.033175,0.9583
12,0.033752,0.9490,0.028051,0.9583
13,0.032194,0.9694,0.034019,0.9583
14,0.033642,0.9592,0.030436,0.9583
15,0.028193,0.9694,0.029756,0.9583
16,0.026698,0.9694,0.030238,0.9583
17,0.026761,0.9796,0.030840,0.9583
18,0.033072,0.9694,0.029218,0.9583
19,0.030565,0.9694,0.028872,0.9583
20,0.029480,0.9694,0.031046,0.9583
21,0.027626,0.9694,0.029844,0.9583
22,0.027830,0.9796,0.030083,0.9583
23,0.032250,0.9592,0.035321,0.9583
24,0.026371,0.9694,0.038616,0.9167
25,0.029237,0.9694,0.041441,0.9167
26,0.026660,0.9796,0.040176,0.9167
27,0.025909,0.9694,0.034913,0.9583
28,0.035436,0.9286,0.045692,0.8750
29,0.035031,0.9592,0.038509,0.8750
30,0.039429,0.9388,0.042908,0.8750
31,0.030365,0.9796,0.039883,0.8750
32,0.029440,0.9796,0.036606,0.9583
33,0.027118,0.9898,0.030107,0.9583
34,0.029249,0.9796,0.032145,0.9583
35,0.028964,0.9796,0.031397,0.9583
36,0.025306,0.9898,0.031315,0.9583
37,0.026006,0.9898,0.030758,0.9583
38,0.026114,0.9898,0.034000,0.9583
39,0.029776,0.9796,0.037820,0.9167
40,0.042795,0.9184,0.032789,0.9583
41,0.027863,0.9898,0.032340,0.9583
42,0.030146,0.9796,0.030504,0.9583
43,0.031327,0.9796,0.031700,0.9583
44,0.037396,0.9592,0.034991,0.9583
45,0.031595,0.9694,0.034333,0.9583
46,0.032136,0.9694,0.033396,0.9583
47,0.034338,0.9694,0.038730,0.9583
48,0.037308,0.9592,0.037488,0.9583
49,0.037102,0.9592,0.043671,0.9583
50,0.035207,0.9694,0.040286,0.9583
51,0.036744,0.9694,0.037894,0.9583
52,0.034683,0.9796,0.040104,0.9583
53,0.033166,0.9796,0.053116,0.8750
54,0.033670,0.9694,0.054145,0.8750
55,0.032575,0.9796,0.049528,0.8750
56,0.036413,0.9694,0.050485,0.8750
57,0.030596,0.9796,0.045915,0.8750
58,0.034635,0.9694,0.046411,0.8750
59,0.040595,0.9592,0.044649,0.8750
60,0.032996,0.9796,0.046492,0.8750
61,0.036266,0.9592,0.052465,0.8750
62,0.033980,0.9694,0.053717,0.8750
63,0.038030,0.9592,0.041987,0.8750
64,0.036873,0.9592,0.045071,0.8750
65,0.040190,0.9388,0.044478,0.8750
66,0.032202,0.9796,0.038018,0.9167
67,0.039331,0.9490,0.031953,0.9583
68,0.028330,0.9898,0.029651,0.9583
69,0.034915,0.9592,0.030097,0.9583
70,0.031760,0.9694,0.028471,0.9583
71,0.030065,0.9796,0.032737,0.9583
72,0.028034,0.9898,0.035639,0.9583
73,0.030517,0.9796,0.028489,0.9583
74,0.031671,0.9796,0.032974,0.9583
75,0.031855,0.9694,0.030994,0.9583
76,0.028405,0.9796,0.029688,0.9583
77,0.029192,0.9796,0.032804,0.9583
78,0.026978,0.9796,0.031194,0.9583
79,0.030622,0.9796,0.033413,0.9583
80,0.028496,0.9796,0.027711,0.9583
81,0.028374,0.9796,0.032983,0.9583
82,0.029843,0.9796,0.028966,0.9583
83,0.029359,0.9796,0.030167,0.9583
84,0.031440,0.9796,0.029200,0.9583
85,0.028526,0.9898,0.029752,0.9583
86,0.027867,0.9898,0.037302,0.9583
87,0.025622,1.0000,0.034024,0.9583
88,0.026584,0.9898,0.032502,0.9583
89,0.029966,0.9796,0.030532,0.9583
90,0.027719,0.9898,0.036658,0.9583
91,0.031225,0.9796,0.034303,0.9583
92,0.030785,0.9898,0.033618,0.9583
93,0.027449,0.9898,0.032145,0.9583
94,0.032285,0.9694,0.037215,0.9583
95,0.028185,0.9898,0.022194,1.0000
96,0.027078,0.9898,0.025312,0.9583
97,0.027143,0.9898,0.019928,0.9583
98,0.032361,0.9694,0.019450,0.9583
99,0.027153,0.9898,0.022156,0.9583
100,0.027029,0.9898,0.022282,0.9583
101,0.030889,0.9796,0.025791,0.9583
102,0.025112,1.0000,0.028444,0.9583
103,0.028115,0.9898,0.029057,0.9583
104,0.027116,0.9898,0.024216,0.9583
105,0.030468,0.9796,0.022946,0.9583
106,0.027796,0.9898,0.024469,0.9583
107,0.030641,0.9796,0.031033,0.9583
108,0.027320,0.9898,0.029486,0.9583
109,0.030507,0.9796,0.032270,0.9583
110,0.027578,0.9898,0.029142,0.9583
111,0.024792,1.0000,0.025229,0.9583
112,0.027429,0.9898,0.027816,0.9583
113,0.031781,0.9796,0.027827,0.9583
114,0.026938,0.9898,0.027271,0.9583
115,0.028493,0.9796,0.022922,0.9583
116,0.029556,0.9796,0.033218,0.9583
117,0.028731,0.9796,0.026404,0.9583
118,0.027676,0.9898,0.020729,0.9583
119,0.027977,0.9796,0.024386,0.9583
120,0.028882,0.9796,0.017133,1.0000
121,0.026988,0.9898,0.031303,0.9583
122,0.028716,0.9898,0.030278,0.9583
123,0.030611,0.9796,0.028147,0.9583
124,0.026372,0.9898,0.027489,0.9583
125,0.027260,0.9796,0.021797,0.9583
126,0.026603,0.9898,0.023383,0.9583
127,0.030852,0.9796,0.026562,0.9583
128,0.026914,0.9898,0.017986,1.0000
129,0.026222,0.9898,0.015886,1.0000
130,0.032129,0.9694,0.022951,0.9583
131,0.033265,0.9694,0.015307,1.0000
132,0.027842,0.9796,0.018709,1.0000
133,0.023399,1.0000,0.019216,1.0000
134,0.031088,0.9796,0.022087,0.9583
135,0.037032,0.9592,0.024913,0.9583
136,0.026269,0.9898,0.023703,0.9583
137,0.025591,0.9898,0.023579,0.9583
138,0.023672,1.0000,0.023982,0.9583
139,0.026291,0.9898,0.023911,0.9583
140,0.028324,0.9694,0.015206,1.0000
141,0.026430,0.9796,0.016022,1.0000
142,0.026510,0.9796,0.021871,0.9583
143,0.027989,0.9694,0.017434,1.0000
144,0.028119,0.9796,0.026232,0.9583
145,0.029352,0.9796,0.027847,0.9583
146,0.025871,0.9898,0.027826,0.9583
147,0.026377,0.9898,0.027276,0.9583
148,0.029945,0.9796,0.027121,0.9583
149,0.031314,0.9694,0.026364,0.9583
150,0.025925,0.9796,0.027292,0.9583
151,0.026927,0.9898,0.026917,0.9583
152,0.024815,0.9898,0.027926,0.9583
153,0.026231,0.9898,0.028320,0.9583
154,0.027987,0.9796,0.026072,0.9583
155,0.027553,0.9796,0.025244,0.9583
156,0.026233,0.9898,0.027660,0.9583
157,0.029434,0.9694,0.025382,0.9583
158,0.025812,0.9898,0.023919,0.9583
159,0.025574,0.9898,0.026278,0.9583
160,0.028542,0.9898,0.025995,0.9583
161,0.025251,0.9898,0.024185,0.9583
162,0.026970,0.9898,0.031184,0.9583
163,0.029163,0.9796,0.030820,0.9583
164,0.025678,0.9898,0.030153,0.9583
165,0.028312,0.9796,0.030090,0.9583
166,0.025212,0.9898,0.030735,0.9583
167,0.026777,0.9898,0.030141,0.9583
168,0.030152,0.9694,0.026713,0.9583
169,0.027348,0.9898,0.022872,0.9583
170,0.028824,0.9796,0.031428,0.9583
171,0.029536,0.9796,0.018734,1.0000
172,0.025962,0.9898,0.017697,1.0000
173,0.025856,0.9898,0.023986,0.9583
174,0.031611,0.9694,0.027384,0.9583
175,0.026262,0.9898,0.019848,1.0000
176,0.028887,0.9796,0.030422,0.9583
177,0.026095,0.9898,0.030906,0.9583
178,0.025480,0.9898,0.029927,0.9583
179,0.028181,0.9796,0.029698,0.9583
180,0.024863,0.9898,0.033227,0.9583
181,0.025586,0.9898,0.032298,0.9583
182,0.028915,0.9694,0.032239,0.9583
183,0.025687,0.9796,0.033516,0.9583
184,0.025984,0.9898,0.032751,0.9583
185,0.023165,1.0000,0.032317,0.9583
186,0.025964,0.9898,0.029570,0.9583
187,0.025619,0.9898,0.031910,0.9583
188,0.033325,0.9796,0.031170,0.9583
189,0.025442,0.9898,0.032605,0.9583
190,0.033312,0.9796,0.032437,0.9583
191,0.025177,0.9898,0.031663,0.9583
192,0.024154,0.9898,0.032391,0.9583
193,0.027403,0.9796,0.031462,0.9583
194,0.025371,0.9898,0.032238,0.9583
195,0.025306,0.9898,0.032348,0.9583
196,0.025360,0.9898,0.032785,0.9583
197,0.027511,0.9796,0.031869,0.9583
198,0.025511,0.9898,0.032247,0.9583
199,0.024335,0.9898,0.032168,0.9583
200,0.025973,0.9796,0.034184,0.9583
1,0.117755,0.5816,0.049885,0.9167
2,0.047637,0.8980,0.061591,0.8750
3,0.037415,0.9184,0.020944,0.9583
4,0.027622,0.9286,0.022930,0.9583
5,0.022419,0.9490,0.032705,0.9583
6,0.030015,0.9286,0.030307,0.9167
7,0.028613,0.9286,0.023330,0.9583
8,0.020373,0.9490,0.025040,0.9583
9,0.015584,0.9694,0.024030,0.9583
10,0.016879,0.9592,0.023190,0.9583
11,0.016955,0.9694,0.024864,0.9583
12,0.021852,0.9490,0.021473,0.9583
13,0.021954,0.9490,0.025261,0.9583
14,0.021351,0.9388,0.020960,0.9583
15,0.014277,0.9694,0.020865,0.9583
16,0.012586,0.9694,0.021501,0.9583
17,0.012008,0.9694,0.021306,0.9583
18,0.016935,0.9694,0.020374,0.9583
19,0.014682,0.9694,0.020493,0.9583
20,0.014078,0.9694,0.022029,0.9583
21,0.012120,0.9694,0.021413,0.9583
22,0.012323,0.9796,0.021497,0.9583
23,0.016063,0.9694,0.025500,0.9583
24,0.009746,0.9796,0.031255,0.9167
25,0.012995,0.9694,0.037326,0.8750
26,0.009610,0.9796,0.037111,0.8750
27,0.007714,0.9796,0.031495,0.9167
28,0.018796,0.9388,0.043165,0.8750
29,0.017010,0.9592,0.039082,0.8750
30,0.016193,0.9490,0.041705,0.8750
31,0.011085,0.9796,0.036896,0.8750
32,0.010437,0.9796,0.031693,0.8750
33,0.008550,0.9796,0.019548,0.9583
34,0.009947,0.9796,0.022223,0.9583
35,0.009440,0.9796,0.023478,0.9583
36,0.005619,0.9898,0.024009,0.9583
37,0.006042,0.9898,0.023527,0.9583
