Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.124569,0.5510,0.071319,0.8333
2,0.059914,0.8673,0.058284,0.8750
3,0.037333,0.9388,0.062739,0.8750
4,0.028097,0.9490,0.062340,0.8750
5,0.027151,0.9490,0.063543,0.8750
6,0.027713,0.9388,0.061954,0.8750
7,0.025299,0.9592,0.063314,0.8750
8,0.027578,0.9490,0.062114,0.8333
9,0.023792,0.9490,0.069861,0.8333
10,0.024595,0.9592,0.091484,0.8333
11,0.028096,0.9490,0.077238,0.7917
12,0.023638,0.9592,0.076611,0.7917
13,0.028586,0.9694,0.070094,0.8750
14,0.025561,0.9592,0.078320,0.8333
15,0.025450,0.9592,0.082450,0.7917
16,0.023030,0.9796,0.084200,0.7917
1,0.124569,0.5510,0.071319,0.8333
2,0.059914,0.8673,0.058284,0.8750
3,0.037333,0.9388,0.062739,0.8750
4,0.028097,0.9490,0.062340,0.8750
5,0.027151,0.9490,0.063543,0.8750
6,0.027713,0.9388,0.061954,0.8750
7,0.025299,0.9592,0.063314,0.8750
8,0.027578,0.9490,0.062114,0.8333
9,0.023792,0.9490,0.069861,0.8333
10,0.024595,0.9592,0.091484,0.8333
11,0.028096,0.9490,0.077238,0.7917
12,0.023638,0.9592,0.076611,0.7917
13,0.028586,0.9694,0.070094,0.8750
14,0.025561,0.9592,0.078320,0.8333
15,0.025450,0.9592,0.082450,0.7917
16,0.023030,0.9796,0.084200,0.7917
17,0.024576,0.9694,0.083191,0.7917
18,0.025290,0.9796,0.098906,0.7917
19,0.024292,0.9796,0.075316,0.8750
20,0.025993,0.9796,0.094405,0.7917
21,0.025579,0.9796,0.097553,0.7917
1,0.124569,0.5510,0.071319,0.8333
2,0.059914,0.8673,0.058284,0.8750
3,0.037333,0.9388,0.062739,0.8750
4,0.028097,0.9490,0.062340,0.8750
5,0.027151,0.9490,0.063543,0.8750
6,0.027713,0.9388,0.061954,0.8750
7,0.025299,0.9592,0.063314,0.8750
8,0.027578,0.9490,0.062114,0.8333
9,0.023792,0.9490,0.069861,0.8333
10,0.024595,0.9592,0.091484,0.8333
11,0.028096,0.9490,0.077238,0.7917
12,0.023638,0.9592,0.076611,0.7917
13,0.028586,0.9694,0.070094,0.8750
14,0.025561,0.9592,0.078320,0.8333
15,0.025450,0.9592,0.082450,0.7917
16,0.023030,0.9796,0.084200,0.7917
17,0.024576,0.9694,0.083191,0.7917
18,0.025290,0.9796,0.098906,0.7917
19,0.024292,0.9796,0.075316,0.8750
20,0.025993,0.9796,0.094405,0.7917
21,0.025579,0.9796,0.097553,0.7917
1,0.124569,0.5510,0.071319,0.8333
2,0.059914,0.8673,0.058284,0.8750
3,0.037333,0.9388,0.062739,0.8750
4,0.028097,0.9490,0.062340,0.8750
5,0.027151,0.9490,0.063543,0.8750
6,0.027713,0.9388,0.061954,0.8750
7,0.025299,0.9592,0.063314,0.8750
8,0.027578,0.9490,0.062114,0.8333
9,0.023792,0.9490,0.069861,0.8333
10,0.024595,0.9592,0.091484,0.8333
11,0.028096,0.9490,0.077238,0.7917
12,0.023638,0.9592,0.076611,0.7917
13,0.028586,0.9694,0.070094,0.8750
14,0.025561,0.9592,0.078320,0.8333
15,0.025450,0.9592,0.082450,0.7917
16,0.023030,0.9796,0.084200,0.7917
17,0.024576,0.9694,0.083191,0.7917
18,0.025290,0.9796,0.098906,0.7917
19,0.024292,0.9796,0.075316,0.8750
20,0.025993,0.9796,0.094405,0.7917
21,0.025579,0.9796,0.097553,0.7917
1,0.124569,0.5510,0.071319,0.8333
2,0.059914,0.8673,0.058284,0.8750
3,0.037333,0.9388,0.062739,0.8750
4,0.028097,0.9490,0.062340,0.8750
5,0.027151,0.9490,0.063543,0.8750
6,0.027713,0.9388,0.061954,0.8750
7,0.025299,0.9592,0.063314,0.8750
8,0.027578,0.9490,0.062114,0.8333
9,0.023792,0.9490,0.069861,0.8333
10,0.024595,0.9592,0.091484,0.8333
11,0.028096,0.9490,0.077238,0.7917
12,0.023638,0.9592,0.076611,0.7917
13,0.028586,0.9694,0.070094,0.8750
14,0.025561,0.9592,0.078320,0.8333
15,0.025450,0.9592,0.082450,0.7917
16,0.023030,0.9796,0.084200,0.7917
17,0.024576,0.9694,0.083191,0.7917
18,0.025290,0.9796,0.098906,0.7917
19,0.024292,0.9796,0.075316,0.8750
20,0.025993,0.9796,0.094405,0.7917
21,0.025579,0.9796,0.097553,0.7917
1,0.124569,0.5510,0.071319,0.8333
2,0.059914,0.8673,0.058284,0.8750
3,0.037333,0.9388,0.062739,0.8750
4,0.028097,0.9490,0.062340,0.8750
5,0.027151,0.9490,0.063543,0.8750
6,0.027713,0.9388,0.061954,0.8750
7,0.025299,0.9592,0.063314,0.8750
8,0.027578,0.9490,0.062114,0.8333
9,0.023792,0.9490,0.069861,0.8333
10,0.024595,0.9592,0.091484,0.8333
11,0.028096,0.9490,0.077238,0.7917
12,0.023638,0.9592,0.076611,0.7917
13,0.028586,0.9694,0.070094,0.8750
14,0.025561,0.9592,0.078320,0.8333
15,0.025450,0.9592,0.082450,0.7917
16,0.023030,0.9796,0.084200,0.7917
17,0.024576,0.9694,0.083191,0.7917
18,0.025290,0.9796,0.098906,0.7917
19,0.024292,0.9796,0.075316,0.8750
20,0.025993,0.9796,0.094405,0.7917
21,0.025579,0.9796,0.097553,0.7917
