Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.122768,0.5714,0.115013,0.5833
2,0.083888,0.6837,0.031827,0.9583
3,0.044840,0.9082,0.023170,0.9583
4,0.035304,0.9286,0.021654,0.9583
5,0.032818,0.9286,0.020680,0.9583
6,0.032649,0.9286,0.021394,0.9583
7,0.033333,0.9286,0.024349,0.9583
8,0.033116,0.9286,0.022870,0.9583
9,0.030487,0.9286,0.020751,0.9583
10,0.028563,0.9286,0.021316,0.9583
11,0.026700,0.9286,0.025644,0.9583
12,0.026415,0.9286,0.025527,0.9583
13,0.025149,0.9490,0.026978,0.9167
14,0.024082,0.9388,0.024304,0.9583
15,0.020393,0.9490,0.023615,0.9583
16,0.015529,0.9694,0.023541,0.9583
17,0.013570,0.9796,0.028147,0.9167
18,0.013981,0.9592,0.028159,0.9167
19,0.011574,0.9796,0.031329,0.9167
20,0.009361,0.9898,0.038588,0.9167
21,0.015548,0.9694,0.055958,0.8750
22,0.020642,0.9592,0.046236,0.8333
23,0.010606,0.9796,0.027505,0.9583
24,0.008933,0.9796,0.018657,0.9583
25,0.019052,0.9592,0.036189,0.9167
26,0.027331,0.9388,0.042033,0.9167
27,0.015990,0.9694,0.044031,0.8750
28,0.013128,0.9694,0.036681,0.8750
29,0.012177,0.9694,0.030077,0.9167
30,0.010829,0.9796,0.027235,0.9167
31,0.010368,0.9796,0.025374,0.9583
32,0.010130,0.9796,0.023993,0.9583
33,0.012656,0.9592,0.022366,0.9583
34,0.014042,0.9490,0.022093,0.9583
35,0.013618,0.9490,0.022325,0.9583
36,0.011398,0.9796,0.022393,0.9583
37,0.010738,0.9796,0.022525,0.9583
38,0.010767,0.9796,0.023027,0.9583
39,0.009872,0.9796,0.023182,0.9583
40,0.009649,0.9796,0.023501,0.9583
41,0.009029,0.9796,0.023154,0.9583
42,0.008283,0.9898,0.022795,0.9583
43,0.007641,0.9898,0.023328,0.9583
