n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[6],0.16999999999999998,0.016,0.008,0.1,0.7000000000000001,tanh,adam,0.01,64,glorot,"(-0.5, 0.5)",20,0.07515842360948109,0.96,40
[5],0.16999999999999998,0.014,0.002,0.1,0.7000000000000001,sigmoid,adam,0.01,32,he,"(-0.5, 0.5)",30,0.11019417090478226,0.72,41
[3],0.049999999999999996,0.004,0.002,0.15000000000000002,0.2,sigmoid,sgd,0.03,64,he,"(-0.7, 0.7)",20,0.12554193818710924,0.64,42
[6],0.01,0.006,0.006,0.15000000000000002,0.0,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.07040416206730628,0.84,43
[4],0.15,0.006,0.004,0.15000000000000002,0.7000000000000001,sigmoid,adam,0.02,64,xavier,"(-0.5, 0.5)",20,0.09713978064187799,0.84,44
[3],0.12999999999999998,0.018000000000000002,0.008,0.25,0.0,sigmoid,adam,0.01,64,xavier,"(-0.1, 0.1)",20,0.11738538313137425,0.76,45
[6],0.10999999999999997,0.006,0.006,0.1,0.5,tanh,adam,0.03,32,gaussian,"(-0.5, 0.5)",20,0.03882347495056958,1.0,46
[3],0.10999999999999997,0.006,0.0,0.25,0.0,sigmoid,sgd,0.01,8,range,"(-0.1, 0.1)",20,0.1261276158567343,0.4,47
[4],0.15,0.002,0.008,0.05,0.7000000000000001,tanh,adam,0.01,8,xavier,"(-0.5, 0.5)",20,0.030542013213087214,1.0,48
[3],0.08999999999999998,0.018000000000000002,0.006,0.15000000000000002,0.30000000000000004,sigmoid,sgd,0.0,32,range,"(-0.1, 0.1)",30,0.12609492666695424,0.4,49
[3],0.10999999999999997,0.016,0.006,0.25,0.5,sigmoid,adam,0.0,64,glorot,"(-0.1, 0.1)",20,0.11192354311072167,0.8,50
[5],0.15,0.004,0.006,0.05,0.8,tanh,adam,0.03,64,range,"(-0.5, 0.5)",20,0.08362835475119013,0.84,51
[4],0.03,0.008,0.006,0.05,0.7000000000000001,tanh,adam,0.0,64,he,"(-0.1, 0.1)",20,0.038296740198628776,1.0,52
[4],0.10999999999999997,0.008,0.004,0.1,0.4,sigmoid,sgd,0.0,16,glorot,"(-0.5, 0.5)",30,0.09527965722274226,0.88,53
[4],0.15,0.014,0.006,0.0,0.1,tanh,sgd,0.03,16,he,"(-0.7, 0.7)",30,0.06663269262021736,0.84,54
[5],0.15,0.016,0.008,0.1,0.6000000000000001,tanh,adam,0.03,32,he,"(-0.5, 0.5)",20,0.08168109593186719,1.0,55
[3],0.06999999999999999,0.01,0.0,0.25,0.8,sigmoid,sgd,0.01,64,he,"(-0.7, 0.7)",30,0.12586382745752434,0.64,56
[5],0.03,0.006,0.004,0.05,0.5,sigmoid,adam,0.0,16,he,"(-0.1, 0.1)",20,0.08893717370289703,0.84,57
[5],0.049999999999999996,0.014,0.0,0.0,0.4,tanh,adam,0.03,32,xavier,"(-0.1, 0.1)",20,0.037477050348188753,1.0,58
[6],0.03,0.002,0.006,0.15000000000000002,0.1,sigmoid,sgd,0.01,32,gaussian,"(-0.1, 0.1)",20,0.12769006839678962,0.4,59
[6],0.18999999999999997,0.018000000000000002,0.008,0.05,0.8,tanh,adam,0.03,32,range,"(-0.5, 0.5)",20,0.06191807072371897,1.0,60
[3],0.18999999999999997,0.002,0.002,0.25,0.30000000000000004,tanh,sgd,0.01,16,xavier,"(-0.7, 0.7)",20,0.06217560785461539,0.84,61
[4],0.01,0.012,0.006,0.25,0.7000000000000001,tanh,sgd,0.01,32,he,"(-0.7, 0.7)",20,0.10386671490090357,0.64,62
[3],0.06999999999999999,0.008,0.008,0.25,0.30000000000000004,tanh,sgd,0.04,16,xavier,"(-0.5, 0.5)",20,0.08983553085094091,0.84,63
[3],0.01,0.004,0.004,0.2,0.4,tanh,sgd,0.03,32,glorot,"(-0.5, 0.5)",30,0.12524471632214326,0.52,64
[6],0.15,0.002,0.008,0.0,0.6000000000000001,tanh,adam,0.0,8,xavier,"(-0.7, 0.7)",30,0.03510422697328149,1.0,65
[3],0.08999999999999998,0.018000000000000002,0.0,0.05,0.7000000000000001,tanh,adam,0.01,64,glorot,"(-0.1, 0.1)",20,0.061481376504885575,1.0,66
