n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[5],0.08999999999999998,0.006,0.0,0.0,0.4,tanh,adam,0.02,32,he,"(-0.5, 0.5)",20,0.022885168661511572,1.0
[5],0.15,0.0,0.0,0.05,0.7000000000000001,tanh,adam,0.03,32,he,"(-0.1, 0.1)",30,0.000367380265735985,1.0
[6],0.15,0.002,0.004,0.2,0.30000000000000004,sigmoid,adam,0.02,8,gaussian,"(-0.1, 0.1)",20,0.05973284020713735,0.96
[5],0.18999999999999997,0.0,0.002,0.15000000000000002,0.7000000000000001,sigmoid,adam,0.03,8,gaussian,"(-0.5, 0.5)",30,0.013981228679508718,1.0
[6],0.06999999999999999,0.002,0.0,0.2,0.4,tanh,adam,0.0,32,xavier,"(-0.7, 0.7)",30,0.01795737520947375,1.0
[5],0.08999999999999998,0.006,0.0,0.0,0.4,tanh,adam,0.02,32,he,"(-0.5, 0.5)",30,0.022885168661511572,1.0
[5],0.15,0.002,0.0,0.05,0.7000000000000001,tanh,adam,0.03,16,he,"(-0.1, 0.1)",35,0.013930323937951714,1.0
[6],0.15,0.002,0.004,0.2,0.30000000000000004,sigmoid,adam,0.02,8,gaussian,"(-0.1, 0.1)",30,0.05973284020713735,0.96
[5],0.18999999999999997,0.0,0.002,0.15000000000000002,0.7000000000000001,sigmoid,adam,0.03,8,gaussian,"(-0.5, 0.5)",35,0.013981228679508718,1.0
[6],0.06999999999999999,0.002,0.0,0.2,0.6000000000000001,tanh,adam,0.0,32,xavier,"(-0.7, 0.7)",35,0.016481196364016383,1.0
