Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.114669,0.7000,0.110155,0.7083
2,0.086846,0.7500,0.101670,0.7500
3,0.085431,0.7600,0.109968,0.7500
4,0.066587,0.8500,0.110002,0.7500
5,0.057129,0.8800,0.103958,0.7083
6,0.068546,0.7900,0.097984,0.7500
7,0.054577,0.8600,0.094458,0.6667
8,0.062508,0.8400,0.100830,0.7500
9,0.050479,0.8800,0.088560,0.7500
10,0.059582,0.8600,0.091548,0.8333
11,0.054125,0.9300,0.061768,0.8333
12,0.043145,0.9600,0.074089,0.7917
13,0.043630,0.9600,0.082306,0.7917
14,0.042145,0.9600,0.083561,0.8333
15,0.039848,0.9600,0.068152,0.8750
16,0.040016,0.9500,0.080573,0.8333
17,0.039353,0.9600,0.052233,0.8750
18,0.035612,0.9800,0.059871,0.8750
19,0.044617,0.9500,0.074241,0.8750
20,0.063013,0.9300,0.071946,0.8333
21,0.060543,0.9300,0.057163,0.8750
22,0.049888,0.9800,0.057149,0.8750
23,0.048963,0.9800,0.050683,0.9583
24,0.047241,0.9800,0.057710,0.9167
25,0.048578,0.9800,0.049083,0.9167
26,0.045977,0.9900,0.052795,0.9167
27,0.045707,0.9800,0.047989,0.9583
28,0.044758,1.0000,0.052280,0.9167
29,0.044484,0.9900,0.045953,0.9583
30,0.043519,1.0000,0.047515,0.9583
31,0.043887,0.9900,0.041358,0.9583
32,0.042396,1.0000,0.044602,0.9583
33,0.042120,0.9900,0.038774,0.9583
34,0.041260,1.0000,0.041615,0.9583
35,0.040798,1.0000,0.042927,0.9583
36,0.040395,1.0000,0.032573,0.9583
37,0.039900,1.0000,0.037853,0.9583
38,0.039660,1.0000,0.040010,0.9583
39,0.039242,1.0000,0.040755,0.9583
40,0.038931,1.0000,0.035180,0.9583
41,0.038521,1.0000,0.034432,0.9583
42,0.038151,1.0000,0.036570,0.9583
43,0.037771,1.0000,0.037965,0.9583
44,0.037644,0.9900,0.032547,0.9583
45,0.037083,1.0000,0.033897,0.9583
46,0.036709,1.0000,0.035431,0.9583
47,0.036821,0.9900,0.028963,1.0000
48,0.035902,1.0000,0.028459,1.0000
49,0.035662,1.0000,0.031287,0.9583
50,0.035471,1.0000,0.033409,0.9583
51,0.035193,1.0000,0.034777,0.9583
52,0.034918,1.0000,0.035215,0.9583
53,0.034663,1.0000,0.027740,1.0000
54,0.034391,1.0000,0.028502,0.9583
55,0.034271,1.0000,0.030914,0.9583
56,0.034128,1.0000,0.026034,1.0000
57,0.033767,1.0000,0.028077,0.9583
58,0.033581,1.0000,0.022393,1.0000
59,0.032016,1.0000,0.019690,1.0000
60,0.032279,1.0000,0.024495,1.0000
61,0.032366,1.0000,0.019869,1.0000
62,0.032061,1.0000,0.025264,0.9583
63,0.032053,1.0000,0.019410,1.0000
64,0.031804,1.0000,0.019059,1.0000
65,0.030764,1.0000,0.018493,1.0000
66,0.030649,1.0000,0.018624,1.0000
67,0.030411,1.0000,0.018202,1.0000
68,0.030176,1.0000,0.018056,1.0000
69,0.029980,1.0000,0.017981,1.0000
70,0.029813,1.0000,0.017774,1.0000
71,0.029597,1.0000,0.017691,1.0000
72,0.029369,1.0000,0.017497,1.0000
73,0.029168,1.0000,0.017495,1.0000
74,0.029320,1.0000,0.017454,1.0000
75,0.029096,1.0000,0.017204,1.0000
76,0.028597,1.0000,0.016921,1.0000
77,0.028218,1.0000,0.016751,1.0000
78,0.028007,1.0000,0.016614,1.0000
79,0.027749,1.0000,0.016494,1.0000
80,0.027591,1.0000,0.016427,1.0000
81,0.027392,1.0000,0.016223,1.0000
82,0.027067,1.0000,0.016077,1.0000
83,0.026879,1.0000,0.015955,1.0000
84,0.026598,1.0000,0.015819,1.0000
85,0.026558,1.0000,0.015818,1.0000
86,0.026432,1.0000,0.015717,1.0000
87,0.026359,1.0000,0.015681,1.0000
88,0.026178,1.0000,0.015554,1.0000
89,0.025936,1.0000,0.015442,1.0000
90,0.025819,1.0000,0.015315,1.0000
91,0.025597,1.0000,0.015203,1.0000
92,0.025513,1.0000,0.015176,1.0000
93,0.025359,1.0000,0.015053,1.0000
94,0.025268,1.0000,0.015046,1.0000
95,0.025259,1.0000,0.015038,1.0000
96,0.025146,1.0000,0.014973,1.0000
97,0.025214,1.0000,0.014994,1.0000
98,0.025126,1.0000,0.014946,1.0000
99,0.024980,1.0000,0.014941,1.0000
100,0.025067,1.0000,0.014880,1.0000
101,0.024879,1.0000,0.014781,1.0000
102,0.024790,1.0000,0.014728,1.0000
103,0.024688,1.0000,0.014673,1.0000
104,0.024599,1.0000,0.014622,1.0000
105,0.024446,1.0000,0.014658,1.0000
